a, b       | gcf1         | gcf2         | gcf3         |
--------------------------------------------------------
2, 6       | 691          | 571          | 481          |
7, 13      | 611          | 480          | 540          |
15, 15     | 29514        | 13511        | 12348        |
17, 13     | 4016         | 721          | 792          |
48, 18     | 1012         | 571          | 581          |
200, 1     | 581          | 380          | 6009         |
1000, 500  | 9565         | 771          | 481          |
12345, 54321 | 521          | 1052         | 16595        |
50000, 25  | 491          | 881          | 14853        |
100000, 2  | 400          | 812          | 128681       |
500000, 1  | 431          | 841          | 484630       |
999999, 3  | 461          | 911          | 342848       |
1000000, 2 | 341          | 681          | 501855       |
2000000, 2 | 460          | 722          | 937711       |
